title,type,descriptif,prolongementInfo,avertissements,contact,links,data_pour_qui,data_info_ou_conseil,data_access_info,data_niveau_info,data_access_conseil,data_niveau_conseil,data_cout
Justice.fr,portail officiel du Ministère de la justice pour le justiciable SERVICE PUBLIC,Information juridique et Suivi de la procédure depuis son espace personnel sécurisé avec accès aux principales informations et événements de son dossier,,,site voir lien,justice.fr|www.justice.fr,Particulier;Entreprise,Information,En ligne,Général,,,Gratuit
Point Justice,CDAD Point Justice (anciens Points et relais d'accès au droit et Antennes de justice) Maison de justice et du droit SERVICE PUBLIC,"Service de proximité pour l'accés au droit: acceuil, écoute et orientation sur le droit","L'appellation Point Justice (service public) réunit depuis décembre 2020 les centres Départementaux d'Accès au Droit (CDAD), les points justice (anciens Points et relais d'accès au droit et Antennes de justice) et les Maisons de justice et du droit voir https://www.village-justice.com/articles/citoyens-participez-journee-nationale-acces-droit,28538.html",,,CDAD|http://www.annuaires.justice.gouv.fr/annuaires-12162/conseils-departementaux-dacces-au-droit-21771.html;Point Justice|http://www.annuaires.justice.gouv.fr/annuaires-12162/les-points-justice-34055.html;MJD|http://www.annuaires.justice.gouv.fr/annuaires-12162/annuaire-des-maisons-de-justice-et-du-droit-21773.html,Particulier,Information;Conseil,Avec un interlocuteur,Général;Expert,En présentiel,Général,Gratuit
Permanence d'avocats mairie,Permanence d'avocats mairie,Consultation d'un avocat,Parfois sous condition de ressources ou limité à certains domaines du droit,,"Mairie, accès à l'information sur inscription",,Particulier;Entreprise,Information;Conseil,Avec un interlocuteur,Général;Expert,En présentiel,Général,Gratuit
Permancence avocats ordres,"Permanence d'avocats par les Ordres (dans les Tribunaux, syndicats, associations, chambres des métiers, journées d'information...)",Consultation d'un avocat,,,"Annuaire des barreaux, en ligne sur les sites des Barreaux ou par téléphone",Annuaire des barreaux|https://www.cnb.avocat.fr/fr/annuaire-barreaux,Particulier;Entreprise,Information;Conseil,Avec un interlocuteur,Général;Expert,En présentiel,Général,Gratuit
Avocats,Cabinet d'avocats,Consultation d'un avocat,,Mention de spécialisation (ok ajouté par chris en ligne),L'avocat fixe librement ses honoraires. La 1ere consultation peut être gratuite (vous renseigner auprès du professionnel),Trouver un avocat (annuaire gratuit)|https://www.cnb.avocat.fr/fr/annuaire-des-avocats-de-france;RDV en ligne|https://consultation.avocat.fr/consultation-cabinet/index.php;Consultation téléphonique|https://consultation.avocat.fr/consultation-telephonique/index.php;Consultation écrite|https://consultation.avocat.fr/consultation-ecrite/index.php,Particulier;Entreprise,Information;Conseil,Avec un interlocuteur,Général;Expert,A distance;En présentiel,Général;Expert,Payant
Associations,"Associations agréées et spécialisées (droit des consommateurs, aide aux victimes, droit des usagers de santé, etc ...)",Accompagner les particuliers dans la résolution de leurs problématique juridiques,Gratuit mais nécessite une cotisation payante pour l'adhésion,,,Associations d'aide aux victimes|https://www.france-victimes.fr/index.php/components/association;Associations des consommateurs|https://www.economie.gouv.fr/dgccrf/Liste-et-coordonnes-des-,Particulier,Information;Conseil,Avec un interlocuteur,Général;Expert,En présentiel,Général,Gratuit
Cliniques juridiques,"La Clinique Juridique est un dispositif pédagogique et social, qui permet aux étudiants de droit /élèves-avocats d'assurer des permanences pour le grand public.","Les cliniques juridiques délivrent des conseil aux justiciables (particuliers, entreprises, associations, organisations...) sur des problématiques juridiques portant. Les étudients cliniciens sont encadrés dans leur tâche par des professeurs et des professionnels du Droit tels les avocast.","Pour en savoir plus sur les cliniques juridiques vous pouvez lire l'article suivant: https://www.village-justice.com/articles/cliniques-du-droit,16391.html","Les cliniques juridiques sont pour la plus part généralistes, mais certaines sont spécialisées dans certains domaines du droit (vous renseigner sur les sites internet des cliniques)",,Cliniques juridiques|https://univ-droit.fr/clinique-juridique,Particulier;Entreprise,Information;Conseil,Avec un interlocuteur,Général;Expert,En présentiel,Général,Gratuit
Légifrance,Portail internet des sources officielles du droit,"moteur de recherche et base documentaire gérée par le Gouvernement (DILA) regroupant les textes officiels (loi, décrets, avis, etc.) et la jurisprudence française, européenne et internationale (tribunaux, cours, etc.)","Le site a fait l'objet d'une refonte complète en 2020. Pour en savoir plus : https://www.village-justice.com/articles/nouvelle-version-legifrance-illustration-innovation-publique,36606.html",,,Légifrance|https://www.legifrance.gouv.fr,Particulier;Entreprise,Information,En ligne,Général;Expert,,,Gratuit
Service-public.fr,Portail officiel de l'administration française,"informer l'usager et l'orienter vers les services qui lui permettent de connaître ses obligations, d'exercer ses droits et d'accomplir ses démarches administratives","Le site a fait l'objet d'une refonte complète en 2022. Pour en savoir plus : https://www.village-justice.com/articles/site-internet-service-public-fait-peau-neuve,43612.html",,,Service-public.fr|https://www.service-public.fr,Particulier;Entreprise,Information,En ligne,Général,,,Gratuit
Notaires de France (conseils ou infos hors acte),Portail officiel de la profession de notaire en France,plateforme d'information sur les sujets touchant à l'expertise des notaires et annuaire officiel des notaires,"Conseil Gratuit, Acte Payant","L'intervention du notaire est parfois obligatoire (pour tous les actes authentiques notamment), mais il a également un rôle de conseil dans de nombreux domaines du droit (couple/famille, immobilier, fiscalité, entreprise, etc.) Pour en savoir plus, voir ici : https://www.notaires.fr/fr/profession-notaire/les-principaux-domaines-dintervention-du-notaire",,Notaires de France|https://www.notaires.fr,Particulier;Entreprise,Information;Conseil,Avec un interlocuteur,Général;Expert,En présentiel,Général;Expert,Gratuit
Notaires de France (acte notarié),Portail officiel de la profession de notaire en France,plateforme d'information sur les sujets touchant à l'expertise des notaires et annuaire officiel des notaires,"Conseil Gratuit, Acte Payant","L'intervention du notaire est parfois obligatoire (pour tous les actes authentiques notamment), mais il a également un rôle de conseil dans de nombreux domaines du droit (couple/famille, immobilier, fiscalité, entreprise, etc.) Pour en savoir plus, voir ici : https://www.notaires.fr/fr/profession-notaire/les-principaux-domaines-dintervention-du-notaire",,Notaires de France|https://www.notaires.fr,Particulier;Entreprise,Conseil,,,En présentiel,Général;Expert,Payant
Commissaires de Justice [anciens huissiers de Justice + commissaires-priseurs judiciaires]),Portail officiel de la profession d'huissiers de justice/commissaires de justice en France,plateforme d'information sur les sujets touchant à l'expertise des commissaires de justice [anciens huissiers de Justice + commissaires-priseurs judiciaires] et annuaire officiel,"Depuis le 1er juillet 2022, les commissaires de justice effectuent toutes les missions des huissiers de justice et des commissaires-priseurs judiciaires. Pour en savoir plus: https://www.village-justice.com/articles/fiche-pratique-commissaire-justice-une-nouvelle-profession-est-nee,42851.html","Les commissaires de Justice [anciens huissiers de Justice + commissaires-priseurs judiciaires] sont désormais une seule profession. Ils sont notamment compétents pour faire exécuter des décisions de justice, réaliser des inventaires, recouvrer des créances, faire des constats matériels 'officiels' et faire des ventes judiciaires. Pour en savoir plus : https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000032624483",,Commissaires de Justice [anciens huissiers de Justice + commissaires-priseurs judiciaires])|https://commissaire-justice.fr,Particulier;Entreprise,Information;Conseil,Avec un interlocuteur,Général;Expert,En présentiel,Général;Expert,Payant
